fecha,Chuvia,refacho_max,Temperatura_med
2014-04-13 00:00:00.0,0.0,34.90,16.50
2014-04-14 00:00:00.0,0.0,31.60,17.40
2014-04-15 00:00:00.0,0.0,26.70,18.20
2014-04-16 00:00:00.0,0.0,25.60,16.30
2014-04-17 00:00:00.0,0.0,35.30,16.70
2014-04-18 00:00:00.0,0.0,27.90,13.30
2014-04-19 00:00:00.0,0.0,25.60,12.50
2014-04-20 00:00:00.0,12.1,31.60,11.30
2014-04-21 00:00:00.0,1.2,21.20,9.60
2014-04-22 00:00:00.0,3.7,59.80,12.00
2014-04-23 00:00:00.0,8.4,39.00,11.50
2014-04-24 00:00:00.0,8.7,41.00,9.30
2014-04-25 00:00:00.0,13.3,69.50,9.80
2014-04-26 00:00:00.0,5.2,45.40,12.20
2014-04-27 00:00:00.0,0.0,34.20,11.10
2014-04-28 00:00:00.0,1.1,31.20,12.90
2014-04-29 00:00:00.0,3.6,37.90,13.10
2014-04-30 00:00:00.0,1.6,31.30,13.70
2014-05-01 00:00:00.0,0.0,34.60,13.00
2014-05-02 00:00:00.0,0.0,47.20,13.80
2014-05-03 00:00:00.0,0.0,38.30,15.30
2014-05-04 00:00:00.0,0.0,36.40,17.30
2014-05-05 00:00:00.0,0.0,29.70,14.20
2014-05-06 00:00:00.0,0.0,34.80,13.60
2014-05-07 00:00:00.0,0.0,28.60,14.90
2014-05-08 00:00:00.0,0.0,28.60,15.40
2014-05-09 00:00:00.0,0.0,29.00,17.70
2014-05-10 00:00:00.0,0.0,28.60,15.40
2014-05-11 00:00:00.0,0.0,40.50,13.30
2014-05-12 00:00:00.0,0.0,47.60,11.90
2014-05-13 00:00:00.0,0.0,59.50,11.90
2014-05-14 00:00:00.0,0.0,36.00,16.30
2014-05-15 00:00:00.0,0.0,40.90,19.10
2014-05-16 00:00:00.0,0.0,49.50,18.00
2014-05-17 00:00:00.0,0.0,39.00,17.60
2014-05-18 00:00:00.0,0.0,42.00,16.00
2014-05-19 00:00:00.0,1.4,35.60,11.20
2014-05-20 00:00:00.0,11.8,30.10,9.60
2014-05-21 00:00:00.0,18.4,51.40,9.90
2014-05-22 00:00:00.0,13.6,51.70,11.60
2014-05-23 00:00:00.0,2.7,39.40,10.20
2014-05-24 00:00:00.0,0.0,25.60,10.20
2014-05-25 00:00:00.0,6.4,38.30,9.30
2014-05-26 00:00:00.0,0.5,22.70,10.60
2014-05-27 00:00:00.0,3.8,30.10,11.70
2014-05-28 00:00:00.0,1.0,27.90,13.40
2014-05-29 00:00:00.0,9.8,32.70,13.20
2014-05-30 00:00:00.0,0.0,41.50,13.20
2014-05-31 00:00:00.0,0.0,49.00,14.00
2014-06-01 00:00:00.0,0.0,37.50,15.00
2014-06-02 00:00:00.0,0.0,41.30,16.00
2014-06-03 00:00:00.0,1.2,34.90,15.10
2014-06-04 00:00:00.0,0.0,29.60,13.30
2014-06-05 00:00:00.0,15.8,49.00,13.80
2014-06-06 00:00:00.0,14.3,63.90,14.80
2014-06-07 00:00:00.0,0.5,73.60,14.90
2014-06-08 00:00:00.0,6.5,44.60,14.80
2014-06-09 00:00:00.0,2.3,55.70,14.40
2014-06-10 00:00:00.0,0.3,33.40,15.80
2014-06-11 00:00:00.0,0.0,32.50,19.70
2014-06-12 00:00:00.0,0.0,27.50,22.90
2014-06-13 00:00:00.0,0.0,42.70,22.00
2014-06-14 00:00:00.0,0.0,65.70,20.20
2014-06-15 00:00:00.0,0.0,65.00,20.10
